Statistic,shots,goals,xG
MissedShots,61,0,5.138303520157933
SavedShot,30,0,5.096461502369493
BlockedShot,38,0,2.8308062190189958
ShotOnPost,1,0,0.0241545420140028
Goal,17,17,6.393264116719365
