Statistic,stat,shots,goals,xG
1-15,1-15,26,2,3.29986375849694
16-30,16-30,16,2,2.8571746749803424
31-45,31-45,27,1,4.325503203086555
46-60,46-60,22,3,1.9893347201868892
61-75,61-75,27,3,3.390405546873808
76+,76+,38,6,4.96384798316285
