Statistic,stat,shots,goals,xG
shotOboxTotal,shotOboxTotal,44,1,1.4387201443314552
shotPenaltyArea,shotPenaltyArea,59,6,8.110626175999641
shotSixYardBox,shotSixYardBox,13,1,3.270698469132185
