Statistic,shots,goals,xG
BlockedShot,24,0,1.9206550670787692
MissedShots,47,0,3.5481214560568333
SavedShot,30,0,3.518629460595548
Goal,6,6,1.64318473264575
ShotOnPost,2,0,0.2140446975827217
