Statistic,stat,time,shots,goals,xG
Goal diff 0,Goal diff 0,439,30,4,3.1778233675286174
Goal diff +1,Goal diff +1,334,45,2,4.261019094847143
Goal diff > +1,Goal diff > +1,162,26,0,2.5528807304799557
Goal diff -1,Goal diff -1,117,8,0,0.8529122211039066
