Statistic,stat,shots,goals,xG
1-15,1-15,19,4,1.1825721114873886
16-30,16-30,21,0,2.1617529867216945
31-45,31-45,43,4,5.0026200553402305
46-60,46-60,23,4,2.6800718484446406
61-75,61-75,31,4,3.4147161478176713
76+,76+,49,3,5.585528788156807
