№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,275,40,141,17,42.84+2.84,14.32-2.68,28.52,0.16,0.10
2,From corner,44,3,28,0,4.58+1.58,2.77+2.77,1.81,0.10,0.10
3,Set piece,11,0,15,3,1.25+1.25,2.22-0.78,-0.96,0.11,0.15
4,Penalty,5,5,1,0,3.81-1.19,0.76+0.76,3.04,0.76,0.76
5,Direct Freekick,4,0,7,0,0.29+0.29,0.49+0.49,-0.19,0.07,0.07
