Statistic,stat,shots,goals,xG
ownGoals,ownGoals,0,0,0.0
shotOboxTotal,shotOboxTotal,47,4,1.2907700184732676
shotPenaltyArea,shotPenaltyArea,62,9,9.194876953959465
shotSixYardBox,shotSixYardBox,15,4,6.471798934042454
