Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,1557,180,21,23.469611395150423
4-4-2,4-4-2,373,54,10,7.777573852799833
4-4-1-1,4-4-1-1,97,11,1,0.3286514934152365
