Statistic,stat,shots,goals,xG
1-15,1-15,32,7,2.9370372761040926
16-30,16-30,31,3,3.8046816820278764
31-45,31-45,42,3,5.407212296500802
46-60,46-60,38,3,4.8982657277956605
61-75,61-75,41,5,5.072143703699112
76+,76+,61,11,9.456496055237949
