Statistic,stat,time,shots,goals,xG
Goal diff 0,Goal diff 0,934,98,13,10.461301025003195
Goal diff +1,Goal diff +1,416,48,7,7.535231188870966
Goal diff -1,Goal diff -1,333,49,6,6.764595279470086
Goal diff < -1,Goal diff < -1,132,23,3,2.867941163480282
Goal diff > +1,Goal diff > +1,117,17,3,2.715506587177515
