№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,188,22,189,26,27.31+5.31,24.82-1.18,2.49,0.15,0.13
2,From corner,54,6,33,1,6.69+0.69,2.76+1.76,3.93,0.12,0.08
3,Set piece,18,1,17,3,3.14+2.14,2.19-0.81,0.94,0.17,0.13
4,Direct Freekick,6,0,4,1,0.48+0.48,0.28-0.72,0.21,0.08,0.07
5,Penalty,3,2,2,1,2.28+0.28,1.52+0.52,0.76,0.76,0.76
