Statistic,shots,goals,xG
MissedShots,56,0,7.111466775648296
BlockedShot,30,0,1.4050666876137257
Goal,19,19,6.296289522200823
SavedShot,30,0,3.6126149585470557
ShotOnPost,2,0,0.14828026294708252
