№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,147,23,88,11,24.42+1.42,12.92+1.92,11.50,0.17,0.15
2,From corner,39,3,34,2,3.51+0.51,2.91+0.91,0.60,0.09,0.09
3,Set piece,11,0,6,0,0.66+0.66,0.71+0.71,-0.05,0.06,0.12
4,Direct Freekick,3,1,1,0,0.33-0.67,0.03+0.03,0.30,0.11,0.03
