Statistic,stat,time,shots,goals,xG
4-3-3,4-3-3,1377,164,19,22.14175375457853
4-2-3-1,4-2-3-1,473,65,11,11.598035959526896
4-1-4-1,4-1-4-1,57,18,0,1.958609128370881
4-4-2,4-4-2,29,2,0,0.0562969446182251
