Statistic,stat,shots,goals,xG
1-15,1-15,17,1,1.963888785801828
16-30,16-30,23,3,2.7691082330420613
31-45,31-45,23,3,4.269936098717153
46-60,46-60,24,3,2.432027897797525
61-75,61-75,23,2,3.287845387123525
76+,76+,19,1,1.8401004867628217
