Statistic,stat,time,shots,goals,xG
Goal diff 0,Goal diff 0,832,94,16,15.442326626740396
Goal diff -1,Goal diff -1,478,66,4,9.838904517702758
Goal diff > +1,Goal diff > +1,328,52,2,4.3570293271914124
Goal diff +1,Goal diff +1,311,40,7,5.891511212103069
Goal diff < -1,Goal diff < -1,82,12,3,3.4981339434161782
