Statistic,shots,goals,xG
Goal,13,13,6.757689118385315
BlockedShot,30,0,1.7345449775457382
SavedShot,23,0,2.5238708406686783
MissedShots,36,0,3.2541403574869037
ShotOnPost,4,0,0.13367314636707306
