Statistic,shots,goals,xG
OpenPlay,191,25,30.388599077239633
FromCorner,61,4,6.285668102093041
SetPiece,8,1,0.7556812670081854
DirectFreekick,2,0,0.07561950571835041
Penalty,2,2,1.5223376750946045
