№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,120,18,115,12,17.98-0.02,16.09+4.09,1.89,0.15,0.14
2,From corner,21,1,23,1,1.41+0.41,2.20+1.20,-0.80,0.07,0.10
3,Set piece,14,1,10,0,1.11+0.11,0.92+0.92,0.19,0.08,0.09
4,Direct Freekick,10,1,3,1,0.69-0.31,0.15-0.85,0.55,0.07,0.05
5,Penalty,0,0,2,2,0.00,1.52-0.48,-1.52,0.00,0.76
