Statistic,stat,time,shots,goals,xG
Goal diff 0,Goal diff 0,517,50,6,9.74463819200173
Goal diff +1,Goal diff +1,328,56,5,5.503318573348224
Goal diff -1,Goal diff -1,156,20,3,1.7580147292464972
Goal diff > +1,Goal diff > +1,92,16,2,1.866156943142414
Goal diff < -1,Goal diff < -1,65,11,0,2.0106105590239167
