Statistic,shots,goals,xG
SavedShot,36,0,5.56935584358871
BlockedShot,41,0,4.354011264629662
MissedShots,41,0,3.7352196746505797
Goal,15,15,4.659818094223738
ShotOnPost,2,0,0.6520648747682571
