Statistic,stat,shots,goals,xG
1-15,1-15,30,3,4.4918097904883325
16-30,16-30,39,6,7.298126303590834
31-45,31-45,28,5,4.749783962965012
46-60,46-60,46,4,5.635375339537859
61-75,61-75,40,3,4.71766004152596
76+,76+,58,8,6.984978802502155
