Statistic,shots,goals,xG
OpenPlay,94,8,14.848373841494322
FromCorner,21,4,3.7645098622888327
SetPiece,13,0,1.2160815317183733
DirectFreekick,4,0,0.27668657153844833
Penalty,2,1,1.5223376750946045
