№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,130,9,94,8,17.75+8.75,14.85+6.85,2.91,0.14,0.16
2,From corner,25,3,21,4,2.44-0.56,3.76-0.24,-1.32,0.10,0.18
3,Set piece,6,0,13,0,0.22+0.22,1.22+1.22,-1.00,0.04,0.09
4,Direct Freekick,4,0,4,0,0.27+0.27,0.28+0.28,-0.00,0.07,0.07
5,Penalty,1,1,2,1,0.76-0.24,1.52+0.52,-0.76,0.76,0.76
