Statistic,stat,time,shots,goals,xG
4-2-3-1,4-2-3-1,1060,123,12,19.631842125207186
3-4-2-1,3-4-2-1,763,92,15,14.16856995318085
3-4-3,3-4-3,95,10,1,0.6381032560020685
