Statistic,stat,shots,goals,xG
1-15,1-15,32,3,4.742600820958614
16-30,16-30,39,2,3.3833624022081494
31-45,31-45,35,5,5.797938296571374
46-60,46-60,39,9,6.046171652153134
61-75,61-75,38,5,7.051337396726012
76+,76+,42,4,7.4171047657728195
