Statistic,stat,shots,goals,xG
ownGoals,ownGoals,0,0,0.0
shotOboxTotal,shotOboxTotal,37,1,1.6762088891118765
shotPenaltyArea,shotPenaltyArea,77,4,10.693022465333343
shotSixYardBox,shotSixYardBox,20,8,9.258758127689362
