Statistic,shots,goals,xG
Goal,28,28,11.94374569132924
ShotOnPost,5,0,1.3733693659305573
SavedShot,51,0,8.938971277326345
BlockedShot,61,0,3.8216154277324677
MissedShots,80,0,8.360813572071493
