Statistic,stat,time,shots,goals,xG
5-4-1,5-4-1,592,124,11,14.878068343736231
4-2-3-1,4-2-3-1,307,47,7,5.977941137738526
3-5-2,3-5-2,253,38,3,5.2913704458624125
3-4-1-2,3-4-1-2,193,32,1,3.237071511335671
4-3-3,4-3-3,129,28,3,4.951936662197113
4-5-1,4-5-1,114,19,3,3.5092022232711315
3-4-2-1,3-4-2-1,96,19,2,3.0541728772222996
3-4-3,3-4-3,95,20,5,5.732756271958351
5-3-2,5-3-2,86,19,4,2.7290835389867425
4-4-1-1,4-4-1-1,57,15,2,4.152828497812152
4-3-1-2,4-3-1-2,14,7,3,1.6334938649088144
