Statistic,stat,shots,goals,xG
1-15,1-15,59,7,9.569156155921519
16-30,16-30,59,7,8.196577965281904
31-45,31-45,62,7,6.210795493796468
46-60,46-60,53,5,7.387384423986077
61-75,61-75,68,9,12.60121229570359
76+,76+,67,9,11.182799040339887
