№,Situation,Sh,G,ShA,GA,xG,xGA,xGD,xG/Sh,xGA/Sh
1,Open play,88,7,153,16,10.53+3.53,19.48+3.48,-8.95,0.12,0.13
2,From corner,15,0,41,5,2.26+2.26,5.02+0.02,-2.75,0.15,0.12
3,Set piece,12,2,14,1,2.15+0.15,2.50+1.50,-0.34,0.18,0.18
4,Direct Freekick,3,0,3,0,0.15+0.15,0.11+0.11,0.05,0.05,0.04
5,Penalty,2,0,2,2,1.52+1.52,1.52-0.48,0.00,0.76,0.76
