Statistic,shots,goals,xG
BlockedShot,68,0,5.122758875600994
MissedShots,64,0,6.7739392425864935
Goal,24,24,8.856346094980836
SavedShot,51,0,6.714540952816606
ShotOnPost,6,0,1.1544925775378942
