Statistic,stat,shots,goals,xG
shotOboxTotal,shotOboxTotal,65,3,2.203367848880589
shotPenaltyArea,shotPenaltyArea,98,14,14.249309347942472
shotSixYardBox,shotSixYardBox,23,4,8.975123582407832
